     yr     mth    dy        x              y             z     
    1997    12     20       0.95661       0.080329      0.006702
    1997    12     21       0.94512       0.096002     0.0049742
    1997    12     22       0.94331        0.11248     0.0033161
    1997    12     23       0.94121        0.12893     0.0016581
    1997    12     24       0.93907         0.1437             0
    1997    12     25       0.92656        0.15838    -0.0016406
    1997    12     26       0.92365        0.17453    -0.0032812
    1997    12     27       0.92046        0.19062    -0.0049218
    1997    12     28       0.91697        0.20665    -0.0082029
    1997    12     29       0.90349        0.22025    -0.0097388
    1997    12     30       0.89949        0.23598     -0.011362
    1997    12     31       0.89478         0.2532     -0.012985
    1998     1      1       0.88063        0.26588     -0.014451
    1998     1      2       0.87583         0.2812     -0.016056
    1998     1      3       0.87021        0.29794     -0.019267
    1998     1      4       0.85544        0.30967     -0.020645
    1998     1      5        0.8493        0.32602     -0.022233
    1998     1      6       0.84345        0.34078     -0.023821
    1998     1      7       0.82752        0.35297     -0.025129
    1998     1      8        0.8205        0.36875      -0.02827
    1998     1      9       0.81323        0.38441      -0.02984
    1998     1     10        0.7967        0.39548     -0.031061
    1998     1     11       0.78891        0.41068     -0.032613
    1998     1     12       0.78083        0.42572     -0.034165
    1998     1     13       0.76373        0.43562     -0.036851
    1998     1     14       0.75517        0.45017     -0.038385
    1998     1     15       0.74551        0.46585     -0.039919
    1998     1     16       0.72801        0.47458     -0.040983
    1998     1     17       0.71779        0.48964     -0.044016
    1998     1     18       0.70731        0.50452     -0.045532
    1998     1     19       0.68941          0.512     -0.046508
    1998     1     20       0.67847        0.52628     -0.048006
    1998     1     21       0.66724        0.54032     -0.049505
    1998     1     22       0.64802        0.54762     -0.051891
    1998     1     23       0.63536        0.56212     -0.053372
    1998     1     24       0.61604        0.56847     -0.054207
    1998     1     25       0.60393        0.58118      -0.05567
    1998     1     26       0.59052        0.59466     -0.057133
    1998     1     27       0.56994        0.60059     -0.057898
    1998     1     28        0.5571        0.61225     -0.060788
    1998     1     29         0.543        0.62465     -0.062232
    1998     1     30       0.52225        0.62905      -0.06291
    1998     1     31       0.50777        0.64065     -0.064336
    1998     2      1        0.4859        0.64481     -0.064961
    1998     2      2       0.47108        0.65558      -0.06637
    1998     2      3       0.45486        0.66679     -0.067779
    1998     2      4       0.43412        0.66848     -0.068334
    1998     2      5       0.41759        0.67879     -0.069725
    1998     2      6       0.40082        0.68868     -0.071115
    1998     2      7       0.37902        0.68943       -0.0716
    1998     2      8       0.36078        0.69901     -0.072973
    1998     2      9       0.33919        0.69854     -0.073404
    1998     2     10       0.32197         0.7065      -0.07476
    1998     2     11       0.30332        0.71457     -0.076115
    1998     2     12       0.28081        0.71288     -0.076476
    1998     2     13       0.26201        0.71986     -0.077813
    1998     2     14       0.24303        0.72634      -0.07915
    1998     2     15       0.22103        0.72294     -0.078122
    1998     2     16       0.20072         0.7287     -0.079442
    1998     2     17       0.17915        0.72392     -0.079698
    1998     2     18       0.15884         0.7285        -0.081
    1998     2     19       0.13844        0.73265        -0.081
    1998     2     20       0.11633        0.72627     -0.081203
    1998     2     21      0.096006        0.72924     -0.081203
    1998     2     22      0.075592        0.73149     -0.082487
    1998     2     23      0.053131         0.7235     -0.081372
    1998     2     24      0.031637        0.72462     -0.082638
    1998     2     25      0.011393        0.72522     -0.082638
    1998     2     26    -0.0099881         0.7153     -0.081506
    1998     2     27     -0.031198        0.71455     -0.082755
    1998     2     28     -0.053627        0.71322     -0.082755
    1998     3      1     -0.073723        0.70143     -0.081605
    1998     3      2     -0.095719        0.69877     -0.081605
    1998     3      3      -0.11641        0.69562     -0.081605
    1998     3      4       -0.1382        0.69162     -0.081605
    1998     3      5       -0.1576        0.67726     -0.080456
    1998     3      6       -0.1788        0.67198     -0.080456
    1998     3      7      -0.19986        0.66617     -0.079242
    1998     3      8      -0.22069        0.65956     -0.079242
    1998     3      9      -0.23897        0.64257      -0.07811
    1998     3     10      -0.25909        0.63487     -0.076914
    1998     3     11      -0.27999        0.62593     -0.076914
    1998     3     12      -0.30065        0.61642     -0.075717
    1998     3     13      -0.32098        0.60623      -0.07452
    1998     3     14      -0.33597        0.58663      -0.07344
    1998     3     15       -0.3553        0.57528      -0.07226
    1998     3     16      -0.37424        0.56328     -0.071079
    1998     3     17      -0.39279        0.55067     -0.069899
    1998     3     18       -0.4109        0.53744     -0.068718
    1998     3     19      -0.42948        0.52286     -0.067537
    1998     3     20      -0.44666        0.50842     -0.066356
    1998     3     21      -0.46429        0.49269     -0.063994
    1998     3     22      -0.48045         0.4771     -0.062812
    1998     3     23      -0.48878        0.45421     -0.060724
    1998     3     24      -0.50449        0.43701     -0.058394
    1998     3     25      -0.51952         0.4192     -0.057229
    1998     3     26      -0.53329        0.40186     -0.054899
    1998     3     27      -0.54706        0.38306     -0.053733
    1998     3     28      -0.55962        0.36481     -0.051402
    1998     3     29      -0.57216        0.34515      -0.04907
    1998     3     30      -0.58336        0.32603     -0.047903
    1998     3     31      -0.59453        0.30555      -0.04557
    1998     4      1      -0.60447        0.28573     -0.043237
    1998     4      2      -0.62338        0.26847     -0.041513
    1998     4      3      -0.63207         0.2477     -0.039144
    1998     4      4      -0.64006        0.22666     -0.036774
    1998     4      5      -0.64734        0.20535     -0.034403
    1998     4      6      -0.65422        0.18266     -0.032032
    1998     4      7      -0.66002         0.1609     -0.029661
    1998     4      8      -0.66509        0.13895      -0.02729
    1998     4      9      -0.66942        0.11683     -0.024918
    1998     4     10      -0.68274       0.097168     -0.022877
    1998     4     11      -0.68566       0.074487      -0.02047
    1998     4     12      -0.68782       0.051718     -0.018062
    1998     4     13      -0.68917        0.03009     -0.015654
    1998     4     14      -0.68984      0.0072242     -0.013246
    1998     4     15      -0.69976      -0.014658     -0.010995
    1998     4     16      -0.69899      -0.036632    -0.0085519
    1998     4     17      -0.69753      -0.058573    -0.0048869
    1998     4     18      -0.69536      -0.080456    -0.0024435
    1998     4     19      -0.69249       -0.10226             0
    1998     4     20      -0.69899       -0.12451     0.0024784
    1998     4     21      -0.69472        -0.1464     0.0049567
    1998     4     22      -0.69005       -0.16694      0.007435
    1998     4     23      -0.69408       -0.19118      0.010053
    1998     4     24      -0.68807       -0.21168      0.012566
    1998     4     25      -0.68144       -0.23198      0.015079
    1998     4     26      -0.68404       -0.25439      0.016562
    1998     4     27      -0.67565       -0.27573      0.019109
    1998     4     28      -0.66611       -0.29797      0.020383
    1998     4     29      -0.65639       -0.31872      0.021656
    1998     4     30      -0.64539       -0.34028      0.024203
    1998     5      1      -0.63434       -0.36036      0.025477
    1998     5      2      -0.62201       -0.38117       0.02675
    1998     5      3      -0.60969       -0.40049      0.028023
    1998     5      4      -0.59677       -0.41942      0.029296
    1998     5      5      -0.59047       -0.44495      0.030988
    1998     5      6      -0.57616       -0.46325      0.032278
    1998     5      7      -0.56133       -0.48111      0.032278
    1998     5      8      -0.54589       -0.49847      0.033569
    1998     5      9      -0.52992       -0.51533      0.034859
    1998     5     10      -0.52131       -0.53795      0.036637
    1998     5     11      -0.50411       -0.55401      0.037945
    1998     5     12      -0.48741       -0.56867      0.039252
    1998     5     13      -0.47557       -0.59149      0.039775
    1998     5     14      -0.45777       -0.60528        0.0411
    1998     5     15      -0.43957       -0.61853      0.042424
    1998     5     16      -0.42656       -0.63961      0.042983
    1998     5     17      -0.40736       -0.65191      0.044324
    1998     5     18        -0.389       -0.66303      0.044324
    1998     5     19      -0.37392       -0.68297      0.046259
    1998     5     20       -0.3547       -0.69314      0.046259
    1998     5     21      -0.33947       -0.71171      0.048228
    1998     5     22      -0.31946       -0.72091      0.048228
    1998     5     23      -0.30045       -0.72895      0.049605
    1998     5     24      -0.28352       -0.74638      0.050232
    1998     5     25      -0.26389       -0.75355      0.050232
    1998     5     26       -0.2471       -0.76962      0.052271
    1998     5     27      -0.22687       -0.77582      0.052271
    1998     5     28      -0.20903       -0.79114      0.052916
    1998     5     29      -0.18825       -0.79634      0.052916
    1998     5     30      -0.17077       -0.81038      0.055007
    1998     5     31      -0.15274       -0.82412       0.05567
    1998     6      1      -0.13256        -0.8276       0.05567
    1998     6      2      -0.11364       -0.84048      0.056333
    1998     6      3     -0.093069       -0.84301      0.056333
    1998     6      4     -0.074789       -0.85484      0.056996
    1998     6      5     -0.053881       -0.85642      0.056996
    1998     6      6     -0.034838       -0.86739      0.057658
    1998     6      7      -0.01515       -0.86796      0.057658
    1998     6      8     0.0045975       -0.87805      0.058321
    1998     6      9      0.023246       -0.88774      0.058984
    1998     6     10      0.043381       -0.88698      0.058984
    1998     6     11      0.062643       -0.89583      0.059647
    1998     6     12       0.08139       -0.89433      0.059647
    1998     6     13       0.10121       -0.90234      0.060309
    1998     6     14       0.12141       -0.90991      0.060972
    1998     6     15       0.13885       -0.90741      0.060972
    1998     6     16       0.15954       -0.91414      0.061635
    1998     6     17       0.17897        -0.9207      0.062297
    1998     6     18       0.19663        -0.9172       0.06066
    1998     6     19       0.21809       -0.92259      0.061306
    1998     6     20       0.23416       -0.91865      0.061306
    1998     6     21        0.2544        -0.9236      0.061951
    1998     6     22       0.27492       -0.92812      0.062596
    1998     6     23       0.29111       -0.92328      0.060907
    1998     6     24       0.31196       -0.92698      0.061535
    1998     6     25       0.33144        -0.9308      0.062163
    1998     6     26       0.34764       -0.92487      0.062163
    1998     6     27       0.36744       -0.92804      0.061049
    1998     6     28       0.38579       -0.93138      0.061659
    1998     6     29       0.40199        -0.9245      0.061659
    1998     6     30        0.4222       -0.92643       0.06227
    1998     7      1       0.43674       -0.91978      0.060493
    1998     7      2       0.45556       -0.92176      0.061086
    1998     7      3       0.47616       -0.92254      0.061679
    1998     7      4       0.49064       -0.91504      0.059867
    1998     7      5       0.50981       -0.91594      0.060442
    1998     7      6       0.52912       -0.91646      0.061018
    1998     7      7       0.54187       -0.90899      0.061018
    1998     7      8       0.56138       -0.90895      0.059729
    1998     7      9       0.57559       -0.90002      0.059729
    1998     7     10       0.59359       -0.90023      0.060287
    1998     7     11       0.61177        -0.9002      0.058946
    1998     7     12       0.62584       -0.89048      0.058946
    1998     7     13       0.64407       -0.88974      0.059487
    1998     7     14       0.66245       -0.88875      0.058093
    1998     7     15        0.6748       -0.87942      0.058093
    1998     7     16        0.6932       -0.87774      0.058616
    1998     7     17       0.70545       -0.86806      0.056664
    1998     7     18       0.72391       -0.86579       0.05717
    1998     7     19       0.74093       -0.86446      0.057676
    1998     7     20         0.753       -0.85411      0.055689
    1998     7     21       0.77007       -0.85225      0.056177
    1998     7     22       0.78189       -0.84142      0.056177
    1998     7     23       0.79907       -0.83911      0.054643
    1998     7     24       0.81624       -0.83643      0.055115
    1998     7     25       0.82784       -0.82495      0.055115
    1998     7     26       0.84508       -0.82181      0.053528
    1998     7     27       0.85506       -0.81142      0.053528
    1998     7     28       0.87224        -0.8077      0.053982
    1998     7     29       0.88211       -0.79705      0.051907
    1998     7     30       0.89789       -0.79439      0.052343
    1998     7     31       0.91509       -0.78989      0.052779
    1998     8      1       0.92474       -0.77871       0.05067
    1998     8      2       0.94191       -0.77369      0.051088
    1998     8      3       0.94996       -0.76379      0.051088
    1998     8      4       0.96715       -0.75834      0.049362
    1998     8      5       0.97504       -0.74817      0.049362
    1998     8      6       0.99218       -0.74224      0.047601
    1998     8      7       0.99989       -0.73181      0.047601
    1998     8      8        1.0156       -0.72712      0.047985
    1998     8      9        1.0245        -0.7147      0.045805
    1998     8     10        1.0402       -0.70957      0.046171
    1998     8     11        1.0559       -0.70418      0.046538
    1998     8     12        1.0633       -0.69313      0.044322
    1998     8     13        1.0789       -0.68732      0.044671
    1998     8     14         1.086       -0.67599      0.044671
    1998     8     15        1.1016       -0.66981       0.04277
    1998     8     16        1.1086       -0.65824       0.04277
    1998     8     17        1.1241       -0.65161      0.043102
    1998     8     18        1.1309       -0.63983      0.040834
    1998     8     19        1.1463       -0.63279      0.041148
    1998     8     20        1.1518       -0.62276      0.041148
    1998     8     21        1.1671       -0.61536      0.039159
    1998     8     22        1.1735        -0.6031      0.039159
    1998     8     23        1.1787       -0.59284      0.039159
    1998     8     24        1.1939       -0.58489      0.037136
    1998     8     25         1.199       -0.57445      0.037136
    1998     8     26         1.214       -0.56609      0.037415
    1998     8     27        1.2189        -0.5555      0.035077
    1998     8     28        1.2338       -0.54675      0.035339
    1998     8     29        1.2385       -0.53597      0.035339
    1998     8     30        1.2534       -0.52686      0.033228
    1998     8     31        1.2579       -0.51591      0.033228
    1998     9      1        1.2716       -0.50862      0.033472
    1998     9      2        1.2761       -0.49753      0.031082
    1998     9      3        1.2812       -0.48414      0.031082
    1998     9      4        1.2948       -0.47639      0.031309
    1998     9      5        1.2989       -0.46509      0.028901
    1998     9      6        1.3124       -0.45702       0.02911
    1998     9      7        1.3163       -0.44555       0.02911
    1998     9      8        1.3202       -0.43407      0.026684
    1998     9      9        1.3335       -0.42557      0.026876
    1998     9     10        1.3371       -0.41391      0.026876
    1998     9     11        1.3503       -0.40512      0.024608
    1998     9     12        1.3538       -0.39332      0.024608
    1998     9     13        1.3572       -0.38149      0.024608
    1998     9     14        1.3702       -0.37226      0.022304
    1998     9     15        1.3734       -0.36029      0.022304
    1998     9     16        1.3861       -0.35075      0.022461
    1998     9     17        1.3892       -0.33865      0.019966
    1998     9     18        1.3915       -0.32894      0.019966
    1998     9     19        1.4041         -0.319      0.020106
    1998     9     20        1.4068       -0.30673      0.020106
    1998     9     21        1.4095       -0.29445      0.017592
    1998     9     22        1.4213       -0.28658      0.017715
    1998     9     23        1.4237       -0.27417      0.017715
    1998     9     24        1.4261       -0.26174      0.015184
    1998     9     25        1.4377       -0.25351      0.015289
    1998     9     26        1.4399       -0.24096      0.015289
    1998     9     27         1.442       -0.22839      0.012741
    1998     9     28        1.4534       -0.21981      0.012828
    1998     9     29        1.4553       -0.20712      0.012828
    1998     9     30        1.4567       -0.19695      0.010262
    1998    10      1        1.4683       -0.18549      0.010332
    1998    10      2        1.4696       -0.17523      0.010332
    1998    10      3         1.471        -0.1624      0.010332
    1998    10      4        1.4721       -0.15213     0.0077492
    1998    10      5        1.4834       -0.14022     0.0078016
    1998    10      6        1.4843       -0.12986     0.0078016
    1998    10      7        1.4854        -0.1169     0.0052011
    1998    10      8        1.4962       -0.10725      0.005236
    1998    10      9        1.4969      -0.096798      0.005236
    1998    10     10        1.4977      -0.083732      0.002618
    1998    10     11        1.4982      -0.073275      0.002618
    1998    10     12        1.5087      -0.063232     0.0026354
    1998    10     13        1.5092      -0.050064     0.0026354
    1998    10     14        1.5095      -0.039527             0
    1998    10     15        1.5097      -0.028988             0
    1998    10     16        1.5199      -0.015917             0
    1998    10     17          1.52     -0.0053058    -0.0026529
    1998    10     18          1.52      0.0053058    -0.0026529
    1998    10     19        1.5199       0.015917    -0.0026529
    1998    10     20        1.5197        0.02918    -0.0026529
    1998    10     21        1.5295        0.04005    -0.0053407
    1998    10     22        1.5291       0.050727    -0.0053407
    1998    10     23        1.5288       0.061401    -0.0053407
    1998    10     24        1.5283       0.072072    -0.0053407
    1998    10     25        1.5277       0.082739     -0.008011
    1998    10     26        1.5369       0.096696    -0.0080634
    1998    10     27        1.5362        0.10742    -0.0080634
    1998    10     28        1.5354        0.11814     -0.010751
    1998    10     29        1.5346        0.12886     -0.010751
    1998    10     30        1.5336        0.13957     -0.010751
    1998    10     31        1.5426        0.15125     -0.010821
    1998    11      1        1.5415        0.16201     -0.013526
    1998    11      2          1.54        0.17546     -0.013526
    1998    11      3        1.5387        0.18621     -0.013526
    1998    11      4        1.5374        0.19694     -0.016231
    1998    11      5        1.5359        0.20767     -0.016231
    1998    11      6        1.5345        0.21838     -0.016231
    1998    11      7        1.5428        0.23057     -0.016336
    1998    11      8        1.5411        0.24133     -0.019059
    1998    11      9        1.5394        0.25208     -0.019059
    1998    11     10        1.5376        0.26282     -0.019059
    1998    11     11        1.5357        0.27355     -0.019059
    1998    11     12        1.5337        0.28426     -0.021781
    1998    11     13        1.5317        0.29496     -0.021781
    1998    11     14        1.5296        0.30565     -0.021781
    1998    11     15        1.5372        0.31835     -0.021921
    1998    11     16        1.5349        0.32906      -0.02466
    1998    11     17        1.5326        0.33977      -0.02466
    1998    11     18        1.5302        0.35046      -0.02466
    1998    11     19        1.5277        0.36113      -0.02466
    1998    11     20        1.5251        0.37178       -0.0274
    1998    11     21        1.5225        0.38242       -0.0274
    1998    11     22        1.5198        0.39304       -0.0274
    1998    11     23        1.5169        0.40362      -0.03014
    1998    11     24        1.5141         0.4142      -0.03014
    1998    11     25        1.5111        0.42476      -0.03014
    1998    11     26        1.5081         0.4353      -0.03014
    1998    11     27         1.505        0.44581      -0.03288
    1998    11     28        1.5114        0.45921     -0.033089
    1998    11     29        1.5082        0.46975     -0.033089
    1998    11     30        1.5049        0.48027     -0.033089
    1998    12      1        1.5014        0.49074     -0.035846
    1998    12      2         1.498        0.50121     -0.035846
    1998    12      3        1.4944        0.51166     -0.035846
    1998    12      4        1.4917        0.51948     -0.035846
    1998    12      5         1.488        0.52986     -0.038603
    1998    12      6        1.4843        0.54023     -0.038603
    1998    12      7        1.4805        0.55058     -0.038603
    1998    12      8        1.4766         0.5609     -0.038603
    1998    12      9        1.4726         0.5712     -0.038603
    1998    12     10        1.4685        0.58144      -0.04136
    1998    12     11        1.4655        0.58912      -0.04136
    1998    12     12        1.4613        0.59934      -0.04136
    1998    12     13        1.4571        0.60952      -0.04136
    1998    12     14        1.4528        0.61965     -0.044116
    1998    12     15        1.4484        0.62978     -0.044116
    1998    12     16         1.444        0.63987     -0.044116
    1998    12     17        1.4406        0.64743     -0.044116
    1998    12     18         1.436        0.65743     -0.046873
    1998    12     19        1.4223        0.66322     -0.046576
    1998    12     20        1.4176        0.67313     -0.046576
    1998    12     21        1.4129        0.68301     -0.046576
    1998    12     22         1.408        0.69282     -0.049315
    1998    12     23        1.4031        0.70263     -0.049315
    1998    12     24        1.3982        0.71241     -0.049315
    1998    12     25        1.3944        0.71972     -0.049315
    1998    12     26        1.3893         0.7294     -0.052054
    1998    12     27        1.3842        0.73908     -0.052054
    1998    12     28         1.379        0.74873     -0.052054
    1998    12     29        1.3737        0.75834     -0.052054
    1998    12     30        1.3684        0.76791     -0.052054
    1998    12     31        1.3542        0.77244     -0.054443
    1999     1      1        1.3488        0.78188     -0.054443
    1999     1      2        1.3433        0.79128     -0.054443
    1999     1      3        1.3378        0.80064     -0.054443
    1999     1      4        1.3321        0.80991     -0.057164
    1999     1      5        1.3264        0.81919     -0.057164
    1999     1      6        1.3221        0.82612     -0.057164
    1999     1      7        1.3163        0.83533     -0.057164
    1999     1      8         1.302        0.83908     -0.056798
    1999     1      9         1.296         0.8481     -0.059501
    1999     1     10        1.2901        0.85712     -0.059501
    1999     1     11        1.2841        0.86611     -0.059501
    1999     1     12         1.278        0.87505     -0.059501
    1999     1     13        1.2718        0.88389     -0.062204
    1999     1     14        1.2574        0.88699     -0.061803
    1999     1     15        1.2512        0.89575     -0.061803
    1999     1     16        1.2449        0.90446     -0.061803
    1999     1     17        1.2385        0.91313     -0.061803
    1999     1     18        1.2304        0.92384     -0.064489
    1999     1     19         1.224         0.9324     -0.064489
    1999     1     20        1.2095        0.93482      -0.06407
    1999     1     21         1.203        0.94324      -0.06407
    1999     1     22        1.1963        0.95161      -0.06407
    1999     1     23        1.1896        0.95987     -0.066738
    1999     1     24        1.1751        0.96182     -0.066301
    1999     1     25        1.1684           0.97     -0.066301
    1999     1     26        1.1616        0.97814     -0.066301
    1999     1     27        1.1529        0.98816     -0.068952
    1999     1     28         1.146        0.99618     -0.068952
    1999     1     29        1.1315        0.99755     -0.068498
    1999     1     30        1.1245         1.0054     -0.068498
    1999     1     31        1.1175         1.0133     -0.068498
    1999     2      1        1.1085         1.0229     -0.071131
    1999     2      2         1.094         1.0238      -0.07066
    1999     2      3        1.0869         1.0314      -0.07066
    1999     2      4        1.0796         1.0389      -0.07066
    1999     2      5        1.0634         1.0413     -0.070189
    1999     2      6         1.056         1.0487     -0.072786
    1999     2      7        1.0487          1.056     -0.072786
    1999     2      8        1.0394         1.0651     -0.072786
    1999     2      9         1.025         1.0651     -0.072298
    1999     2     10        1.0175         1.0723     -0.072298
    1999     2     11        1.0081          1.081     -0.074878
    1999     2     12       0.99373         1.0807     -0.074372
    1999     2     13       0.98427         1.0893     -0.074372
    1999     2     14       0.97664         1.0962     -0.074372
    1999     2     15       0.96237         1.0954     -0.073866
    1999     2     16       0.95269         1.1037      -0.07641
    1999     2     17       0.94496         1.1103      -0.07641
    1999     2     18       0.92883         1.1109     -0.075887
    1999     2     19        0.9191         1.1189     -0.075887
    1999     2     20       0.91126         1.1253     -0.075887
    1999     2     21       0.89511         1.1253     -0.077873
    1999     2     22       0.88723         1.1315     -0.077873
    1999     2     23       0.87732         1.1392     -0.077873
    1999     2     24       0.86133         1.1389     -0.077333
    1999     2     25       0.85335         1.1449     -0.077333
    1999     2     26       0.83735         1.1441     -0.079267
    1999     2     27       0.82734         1.1514     -0.079267
    1999     2     28       0.81726         1.1585     -0.079267
    1999     3      1       0.80345          1.156     -0.078708
    1999     3      2       0.79333          1.163     -0.078708
    1999     3      3        0.7776         1.1616      -0.07815
    1999     3      4       0.76736         1.1682      -0.08059
    1999     3      5       0.75713         1.1748      -0.08059
    1999     3      6       0.74152          1.173     -0.080014
    1999     3      7       0.73125         1.1794     -0.080014
    1999     3      8       0.71575         1.1772     -0.079438
    1999     3      9       0.70545         1.1834     -0.079438
    1999     3     10       0.68999         1.1808      -0.08125
    1999     3     11       0.67966         1.1867      -0.08125
    1999     3     12       0.66927         1.1926      -0.08125
    1999     3     13       0.65403         1.1897     -0.080657
    1999     3     14       0.64154         1.1965     -0.080657
    1999     3     15       0.62643         1.1932     -0.080064
    1999     3     16       0.61593         1.1985     -0.082416
    1999     3     17       0.60096         1.1949     -0.081805
    1999     3     18       0.58842         1.2011     -0.081805
    1999     3     19        0.5736         1.1972     -0.081195
    1999     3     20       0.56103         1.2031     -0.081195
    1999     3     21       0.54637         1.1989     -0.080584
    1999     3     22       0.53373         1.2044     -0.082883
    1999     3     23       0.51924         1.1999     -0.082256
    1999     3     24       0.50664         1.2053     -0.082256
    1999     3     25       0.49232         1.2004     -0.081628
    1999     3     26       0.47972         1.2055     -0.081628
    1999     3     27       0.46348         1.2011        -0.081
    1999     3     28       0.45088         1.2059        -0.081
    1999     3     29       0.43483         1.2012     -0.080372
    1999     3     30       0.42428         1.2048     -0.082601
    1999     3     31       0.40842         1.1997     -0.081956
    1999     4      1       0.39272         1.1945     -0.081311
    1999     4      2       0.38019         1.1985     -0.081311
    1999     4      3        0.3647         1.1929     -0.080665
    1999     4      4        0.3501         1.1973     -0.080665
    1999     4      5       0.33485         1.1912      -0.08002
    1999     4      6       0.32235         1.1947      -0.08002
    1999     4      7       0.30729         1.1882     -0.081517
    1999     4      8       0.29275         1.1919     -0.081517
    1999     4      9       0.27798         1.1852     -0.080854
    1999     4     10       0.26132         1.1787     -0.080191
    1999     4     11       0.24896         1.1814     -0.080191
    1999     4     12       0.23257         1.1746     -0.079529
    1999     4     13        0.2182         1.1773     -0.079529
    1999     4     14       0.20415         1.1697     -0.078866
    1999     4     15       0.18825         1.1623     -0.078203
    1999     4     16       0.17403         1.1645     -0.078203
    1999     4     17       0.15844         1.1566      -0.07754
    1999     4     18        0.1443         1.1585      -0.07754
    1999     4     19       0.12902         1.1502     -0.076878
    1999     4     20       0.11397         1.1418     -0.076215
    1999     4     21      0.098014         1.1433     -0.076215
    1999     4     22      0.083298         1.1343     -0.077537
    1999     4     23      0.068825         1.1253     -0.076857
    1999     4     24      0.053107         1.1261     -0.076857
    1999     4     25      0.037048         1.1168     -0.076177
    1999     4     26      0.023192         1.1072     -0.075497
    1999     4     27     0.0077313         1.1074     -0.075497
    1999     4     28    -0.0076616         1.0974     -0.074817
    1999     4     29     -0.022774         1.0872     -0.074137
    1999     4     30     -0.037952         1.0868     -0.074137
    1999     5      1     -0.052642         1.0763     -0.071576
    1999     5      2     -0.068898         1.0654     -0.070913
    1999     5      3     -0.083767         1.0644     -0.070913
    1999     5      4     -0.097698         1.0531      -0.07025
    1999     5      5      -0.11315         1.0416     -0.069588
    1999     5      6       -0.1295         1.0397     -0.069588
    1999     5      7      -0.14442         1.0276     -0.068925
    1999     5      8      -0.15723         1.0156     -0.068262
    1999     5      9      -0.17493         1.0127     -0.068262
    1999     5     10      -0.18896         1.0001     -0.067599
    1999     5     11      -0.20264         0.9872     -0.066937
    1999     5     12      -0.21984        0.98351     -0.066937
    1999     5     13      -0.23296        0.97034     -0.064532
    1999     5     14      -0.24736        0.95647     -0.063887
    1999     5     15      -0.26135        0.94239     -0.063242
